# Program:featureCounts v1.6.2; Command:"featureCounts" "-a" "/rhome/cahme002/bigdata/lncRNA/annotation/gencode.v19.long_noncoding_RNAs.gtf" "-o" "/rhome/cahme002/bigdata/lncRNA/count_file/count_file.csv" "-T" "9" "-t" "exon" "-g" "gene_id" "/rhome/cahme002/bigdata/lncRNA/bam_file/flowcell974_lane1_pair1_ACAGTG.fastq.gz.trimmed.sam.sort.bam" "/rhome/cahme002/bigdata/lncRNA/bam_file/flowcell974_lane1_pair1_ATCACG.fastq.gz.trimmed.sam.sort.bam" "/rhome/cahme002/bigdata/lncRNA/bam_file/flowcell974_lane1_pair1_CAGATC.fastq.gz.trimmed.sam.sort.bam" "/rhome/cahme002/bigdata/lncRNA/bam_file/flowcell974_lane1_pair1_CGATGT.fastq.gz.trimmed.sam.sort.bam" "/rhome/cahme002/bigdata/lncRNA/bam_file/flowcell974_lane1_pair1_CTTGTA.fastq.gz.trimmed.sam.sort.bam" "/rhome/cahme002/bigdata/lncRNA/bam_file/flowcell974_lane1_pair1_GCCAAT.fastq.gz.trimmed.sam.sort.bam" "/rhome/cahme002/bigdata/lncRNA/bam_file/flowcell974_lane1_pair1_GGCTAC.fastq.gz.trimmed.sam.sort.bam" "/rhome/cahme002/bigdata/lncRNA/bam_file/flowcell974_lane1_pair1_TAGCTT.fastq.gz.trimmed.sam.sort.bam" "/rhome/cahme002/bigdata/lncRNA/bam_file/flowcell974_lane1_pair1_TTAGGC.fastq.gz.trimmed.sam.sort.bam" 
Geneid	Chr	Start	End	Strand	Length	/rhome/cahme002/bigdata/lncRNA/bam_file/flowcell974_lane1_pair1_ACAGTG.fastq.gz.trimmed.sam.sort.bam	/rhome/cahme002/bigdata/lncRNA/bam_file/flowcell974_lane1_pair1_ATCACG.fastq.gz.trimmed.sam.sort.bam	/rhome/cahme002/bigdata/lncRNA/bam_file/flowcell974_lane1_pair1_CAGATC.fastq.gz.trimmed.sam.sort.bam	/rhome/cahme002/bigdata/lncRNA/bam_file/flowcell974_lane1_pair1_CGATGT.fastq.gz.trimmed.sam.sort.bam	/rhome/cahme002/bigdata/lncRNA/bam_file/flowcell974_lane1_pair1_CTTGTA.fastq.gz.trimmed.sam.sort.bam	/rhome/cahme002/bigdata/lncRNA/bam_file/flowcell974_lane1_pair1_GCCAAT.fastq.gz.trimmed.sam.sort.bam	/rhome/cahme002/bigdata/lncRNA/bam_file/flowcell974_lane1_pair1_GGCTAC.fastq.gz.trimmed.sam.sort.bam	/rhome/cahme002/bigdata/lncRNA/bam_file/flowcell974_lane1_pair1_TAGCTT.fastq.gz.trimmed.sam.sort.bam	/rhome/cahme002/bigdata/lncRNA/bam_file/flowcell974_lane1_pair1_TTAGGC.fastq.gz.trimmed.sam.sort.bam
ENSG00000237491.4	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	714150;714162;714310;714317;714436;717317;717317;717317;717317;718491;718491;719750;719750;719750;719750;719750;719750;719750;719750;719750;719750;719750;719750;719750;719750;719776;721180;721320;721773;728262;728262;730850;730850;730850;736987;738947;738947;739299;739299;739299;739299;739299;739302;739331;739331;740156;740156;740156;740156;740156;740156;740156;740156;740179;740312;741766;742597;742597;742597;742597;742597;745002;745038	714472;714472;714472;714472;714472;717423;717516;717516;717571;718743;718743;719873;719873;719873;719873;719873;719873;719873;719873;719873;719809;720139;720357;720035;720070;719873;723052;722513;722246;728421;728421;730962;730962;730893;737256;739047;739047;739602;739602;739602;739602;739602;739602;739602;739602;740650;740346;740346;740346;740507;740507;740212;740255;740346;740346;741839;742845;742703;742701;742703;742694;745440;745109	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5517	19	17	14	23	15	19	14	8	11
ENSG00000240453.1	chr1;chr1	745489;752753	745550;753092	-;-	402	4	2	4	2	0	9	5	5	1
ENSG00000177757.1	chr1;chr1	752751;754103	753582;755214	+;+	1944	12	6	9	11	4	10	9	6	4
ENSG00000225880.4	chr1;chr1	761586;761589	762902;762886	-;-	1317	53	48	32	54	25	43	30	35	39
ENSG00000228794.4	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	762988;763041;763047;763049;763053;763079;763079;764383;764383;764383;764383;764383;764383;764383;764443;764443;766985;776580;776580;776580;783034;783034;783034;783034;783034;783034;784864;784864;784864;785558;785561;786728;787307;787307;787307;787307;787307;787307;788051;788051;788051;788051;788051;788771;788771	763155;763155;763155;763155;763155;763155;763155;764484;764484;764484;764484;764484;764484;764484;764484;764484;767057;777400;776753;777118;783186;783186;783186;783186;783186;783186;784982;784982;784982;785731;785731;787490;787490;787490;787490;787378;787367;787490;788132;788146;788146;788146;788146;789006;794826	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	8525	400	341	416	293	257	485	334	303	201
ENSG00000230368.2	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	803451;803620;803783;804007;804908;805466;809492;810420;812126;812126	804055;803910;804055;804055;804955;805581;810535;810535;812182;812283	-;-;-;-;-;-;-;-;-;-	1971	3	0	2	0	0	5	6	4	0
ENSG00000272438.1	chr1;chr1	840214;851130	840337;851356	+;+	351	0	0	1	0	0	1	0	0	0
ENSG00000230699.2	chr1;chr1	846815;847325	846853;850328	+;+	3043	2	1	2	0	0	1	0	0	1
ENSG00000241180.1	chr1;chr1	849551;850183	849824;850351	+;+	443	0	0	0	0	0	0	0	0	0
ENSG00000223764.2	chr1;chr1;chr1;chr1;chr1;chr1;chr1	852245;852250;852750;853402;853402;854205;854715	856396;853100;852866;853914;853490;854295;855072	-;-;-;-;-;-;-	4152	2	0	2	0	1	0	3	3	0
ENSG00000272512.1	chr1	931346	933431	-	2086	38	18	31	12	10	36	11	20	7
ENSG00000224969.1	chr1;chr1	947377;948297	947570;948573	-;-	471	14	5	13	2	6	10	11	13	1
ENSG00000242590.1	chr1;chr1	990413;991278	990595;991496	+;+	402	2989	1294	2689	1533	1234	3135	1738	1671	1020
ENSG00000273443.1	chr1;chr1	997588;998441	998188;998668	-;-	829	65	43	44	66	35	86	73	39	46
ENSG00000223823.1	chr1;chr1;chr1	1072397;1076205;1078119	1072490;1076412;1079436	+;+;+	1620	0	0	0	0	0	0	0	0	0
ENSG00000272141.1	chr1	1104737	1105723	+	987	46	10	31	22	17	62	26	21	7
ENSG00000205231.1	chr1;chr1	1108436;1114745	1111776;1114935	-;-	3532	4	0	0	0	1	0	3	0	0
ENSG00000260179.1	chr1	1185157	1186714	-	1558	15	6	8	3	9	10	3	10	1
ENSG00000230415.1	chr1;chr1;chr1;chr1;chr1	1210603;1210617;1214448;1214448;1215691	1210679;1210679;1214528;1214773;1215800	+;+;+;+;+	513	53	22	75	13	24	65	17	42	11
ENSG00000240731.1	chr1;chr1	1252961;1254003	1253279;1254069	-;-	386	168	121	142	122	101	210	109	94	63
ENSG00000272455.1	chr1	1344476	1345998	+	1523	84	112	84	114	41	99	54	55	86
ENSG00000225905.1	chr1;chr1	1355625;1357849	1355944;1358071	+;+	543	12	4	19	0	6	10	6	4	1
ENSG00000225285.1	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1365919;1365930;1365930;1366044;1367185;1369558;1369558;1369568	1366042;1366334;1366042;1366334;1367223;1369900;1369868;1369953	-;-;-;-;-;-;-;-	851	8	1	7	4	3	8	2	2	3
ENSG00000272106.1	chr1	1549138	1551175	-	2038	136	104	123	141	72	143	95	119	78
ENSG00000272004.1	chr1;chr1	1590786;1593792	1590913;1594063	+;+	400	102	75	87	77	41	103	62	61	68
ENSG00000269737.1	chr1	1603429	1604850	+	1422	14	14	20	16	5	23	17	10	3
ENSG00000268575.1	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1634175;1634519;1634915;1635263;1635662;1635989;1636343;1637081;1638964;1639619;1640233;1640477;1640957;1643703;1647785;1650797;1653035;1654027;1666129;1666643	1634438;1634708;1635063;1635434;1635783;1636094;1636464;1637171;1639023;1639684;1640391;1640572;1641079;1643839;1647917;1650894;1653150;1654270;1666274;1669127	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5079	1666	1152	1549	1315	906	2155	1234	1230	844
ENSG00000231050.1	chr1;chr1	1822910;1823573	1823290;1824097	+;+	906	6	22	15	22	10	15	4	6	5
ENSG00000233542.1	chr1;chr1	1944652;1946804	1946439;1946969	-;-	1954	0	1	0	0	1	2	0	0	0
ENSG00000226969.1	chr1;chr1;chr1;chr1;chr1	1980642;1980743;1981037;1981037;1981307	1980907;1980907;1981090;1981105;1981509	-;-;-;-;-	538	3	0	1	1	0	2	2	1	0
ENSG00000271806.1	chr1	2072523	2076718	-	4196	227	103	219	108	93	253	156	147	59
ENSG00000182873.4	chr1;chr1;chr1;chr1;chr1;chr1	2113233;2113233;2114174;2115010;2115010;2115430	2114180;2115492;2114262;2115314;2115143;2115828	-;-;-;-;-;-	2596	198	71	197	82	76	222	93	141	48
ENSG00000243558.1	chr1;chr1	2143610;2143988	2143897;2144013	-;-	314	4	5	4	8	1	3	4	2	3
ENSG00000234396.3	chr1;chr1	2143962;2151974	2144083;2152177	+;+	326	1	1	2	1	1	2	0	0	0
ENSG00000272161.1	chr1	2257640	2258132	-	493	5	3	4	0	0	6	0	0	1
ENSG00000269896.1	chr1	2281853	2284259	-	2407	152	53	161	66	72	212	90	96	41
ENSG00000272420.1	chr1	2294500	2295067	-	568	11	7	5	4	3	14	5	0	5
ENSG00000271921.1	chr1	2306292	2306792	-	501	7	8	18	13	4	20	7	6	9
ENSG00000271847.1	chr1	2309056	2309799	-	744	8	18	16	12	5	23	1	6	8
ENSG00000224387.1	chr1;chr1	2423739;2424540	2424035;2424697	-;-	455	4	4	12	11	7	10	3	3	4
ENSG00000229393.1	chr1;chr1	2424876;2425822	2425292;2425918	-;-	514	14	12	16	7	2	15	1	4	6
ENSG00000272449.1	chr1	2477904	2478899	+	996	29	24	32	24	14	21	18	30	13
ENSG00000238164.2	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	2481359;2481359;2481359;2481513;2481722;2482012;2482431;2482431;2482431;2483214;2485065;2485540;2485540;2485680;2486163;2487120;2487867;2488416;2488416	2481558;2481713;2481713;2481713;2482170;2482170;2485589;2483037;2483545;2484142;2485253;2485735;2485684;2485735;2488135;2487308;2488135;2488470;2488450	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6137	421	61	451	74	266	553	345	404	38
ENSG00000225931.3	chr1;chr1;chr1	2497849;2499305;2500416	2498044;2499493;2501327	+;+;+	1297	33	1	33	3	27	37	27	18	0
ENSG00000228037.1	chr1;chr1;chr1	2512999;2514809;2515564	2513089;2514934;2515972	+;+;+	626	153	0	151	0	132	150	123	117	1
ENSG00000237058.1	chr1;chr1	2564007;2567795	2564114;2568059	+;+	373	7	1	6	0	5	7	1	8	0
ENSG00000233234.1	chr1;chr1	2728415;2728800	2728563;2729257	-;-	607	0	1	2	0	2	0	2	0	0
ENSG00000231630.1	chr1;chr1	2730997;2731392	2731253;2731563	-;-	429	0	0	0	0	0	2	0	0	0
ENSG00000177133.6	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	2976179;2976179;2976181;2976181;2976181;2976794;2976794;2976794;2977065;2977065;2977065;2977671;2977671;2977671;2977671;2977853;2978155;2978155;2978854;2980010;2980636;2980776;2983901;2983901;2984786	2976301;2979095;2976301;2976847;2976301;2976847;2976847;2976847;2977168;2977168;2977168;2980619;2978596;2977895;2977895;2977895;2978315;2978377;2980350;2980246;2980866;2980866;2984333;2984612;2985001	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5600	0	0	0	0	0	0	0	0	0
ENSG00000226286.1	chr1;chr1	3049491;3050137	3049822;3050273	-;-	469	0	0	0	0	0	0	0	0	0
ENSG00000272235.1	chr1	3223200	3226660	-	3461	0	0	0	0	0	0	0	0	0
ENSG00000272088.1	chr1	3403810	3404191	+	382	1	0	5	2	2	3	5	0	0
ENSG00000238260.1	chr1;chr1;chr1	3539754;3540872;3541196	3540120;3541014;3541307	-;-;-	622	6	1	2	3	4	2	0	12	4
ENSG00000227589.1	chr1;chr1;chr1	3575502;3578717;3585189	3575994;3578829;3585336	-;-;-	754	3	0	6	0	4	2	6	0	0
ENSG00000235131.1	chr1;chr1	3628764;3630751	3629002;3630862	-;-	351	4	1	0	1	1	6	1	0	0
ENSG00000227372.6	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	3652548;3652548;3652739;3653490;3653713;3654345;3654639;3655011;3656797;3656797;3656797;3656797;3658994;3659368;3659368;3659368;3659368;3659368;3659625;3659625;3659625;3659625;3659683;3659844;3662171;3662171;3662171;3662171;3662851	3654418;3656951;3653122;3653667;3654418;3654439;3655077;3655077;3656951;3656951;3656951;3656951;3659081;3659521;3659422;3659521;3659475;3659475;3659754;3659754;3659754;3659754;3659754;3659934;3662802;3663900;3663886;3662745;3663340	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6597	1635	1312	1541	1425	776	1817	1103	1102	812
ENSG00000272153.1	chr1	3701572	3702102	+	531	234	277	221	216	129	283	135	181	141
ENSG00000236423.1	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	3816936;3816968;3816980;3820529;3820529;3821795;3830256;3830959;3830959	3817195;3817195;3817195;3820600;3820600;3822096;3830854;3832011;3833789	+;+;+;+;+;+;+;+;+	4064	13	13	12	4	13	17	5	4	4
ENSG00000233304.1	chr1;chr1;chr1;chr1;chr1;chr1	4000673;4000677;4001054;4001054;4009087;4012313	4000758;4000758;4001203;4001203;4009411;4015322	+;+;+;+;+;+	3571	1	1	1	0	0	1	0	0	1
ENSG00000226374.1	chr1;chr1;chr1	4007209;4008017;4008923	4007388;4008655;4009040	-;-;-	937	0	0	0	0	0	0	0	0	0
ENSG00000235054.1	chr1;chr1;chr1;chr1;chr1;chr1	4472111;4475613;4476372;4482820;4483408;4484054	4472692;4475647;4476608;4483247;4483508;4484747	+;+;+;+;+;+	2077	0	0	0	0	1	0	0	0	0
ENSG00000227169.2	chr1;chr1	4611795;4612165	4612109;4612205	-;-	356	0	0	0	0	0	0	0	0	0
ENSG00000232596.1	chr1;chr1;chr1;chr1;chr1	4631608;4632530;4642337;4643143;4643399	4631689;4632652;4642634;4643238;4643481	+;+;+;+;+	682	0	0	1	0	1	0	0	2	0
ENSG00000231510.1	chr1;chr1;chr1;chr1	5146519;5148311;5150640;5150793	5146629;5148433;5150687;5150959	-;-;-;-	449	0	0	0	0	1	4	2	0	0
ENSG00000260972.1	chr1	5553038	5554734	+	1697	0	0	0	0	0	0	0	0	0
ENSG00000236948.1	chr1;chr1	5647428;5728201	5647635;5728355	-;-	363	0	0	0	0	0	0	0	0	0
ENSG00000226944.1	chr1;chr1;chr1	6264900;6265266;6265814	6265042;6265473;6265840	-;-;-	378	10	3	6	3	3	5	9	0	6
ENSG00000225077.2	chr1;chr1;chr1;chr1;chr1;chr1;chr1	6296300;6297026;6297305;6297831;6297874;6298281;6298281	6296396;6297210;6297405;6297908;6297908;6299000;6299504	+;+;+;+;+;+;+	1685	65	14	65	19	28	71	40	35	13
ENSG00000271746.1	chr1	6453615	6454451	+	837	78	41	74	27	34	66	63	70	25
ENSG00000231868.1	chr1;chr1;chr1	6503094;6505622;6506972	6503229;6505741;6507066	-;-;-	351	15	5	21	11	11	33	17	11	4
ENSG00000228750.1	chr1;chr1;chr1;chr1;chr1;chr1	6784697;6784697;6785997;6787587;6789780;6789780	6784910;6784910;6787468;6787672;6790072;6790072	+;+;+;+;+;+	2065	1	0	2	1	0	0	2	4	2
ENSG00000237436.1	chr1;chr1;chr1	6843952;6844209;6844718	6844105;6844283;6844903	-;-;-	415	28	14	10	16	5	13	16	19	10
ENSG00000237365.1	chr1;chr1	7068436;7074311	7068755;7074339	-;-	349	0	0	0	0	0	0	0	0	0
ENSG00000237402.1	chr1;chr1	7429003;7430142	7429177;7430331	+;+	365	0	2	2	5	2	4	3	3	2
ENSG00000237728.1	chr1;chr1;chr1;chr1;chr1	7442548;7448243;7449400;7449400;7449719	7442783;7448553;7449479;7449499;7449814	-;-;-;-;-	743	0	0	0	0	0	0	0	0	0
ENSG00000225126.1	chr1;chr1	7501156;7501340	7501241;7501614	-;-	361	0	0	0	0	0	0	0	0	0
ENSG00000270171.1	chr1	7753184	7754904	-	1721	1	0	3	0	0	0	1	0	0
ENSG00000270035.1	chr1	7758363	7758932	-	570	0	0	2	0	0	4	1	0	0
ENSG00000269978.1	chr1	7760764	7761030	-	267	6	0	3	0	1	4	1	0	0
ENSG00000269925.1	chr1	7836443	7836835	+	393	23	28	29	29	18	34	14	24	22
ENSG00000236266.1	chr1;chr1;chr1	7870302;7871549;7887164	7870776;7871664;7887402	-;-;-	830	111	97	121	79	47	143	65	76	53
ENSG00000238290.1	chr1;chr1;chr1	8086798;8089287;8181534	8087481;8089417;8182762	+;+;+	2044	10	6	8	8	5	9	20	0	3
ENSG00000227634.1	chr1;chr1;chr1;chr1	8268732;8270547;8274685;8275139	8268933;8270655;8274738;8275270	+;+;+;+	497	14	4	15	5	11	12	13	4	7
ENSG00000233645.1	chr1;chr1	8278250;8280457	8278593;8280589	-;-	477	0	0	0	0	0	0	0	0	0
ENSG00000232912.1	chr1;chr1;chr1;chr1;chr1;chr1;chr1	8484705;8485698;8488542;8488542;8489887;8489887;8494693	8484761;8485814;8488648;8488648;8490032;8490101;8494898	+;+;+;+;+;+;+	702	3	2	3	2	0	1	0	0	1
ENSG00000228423.2	chr1;chr1	8865919;8866838	8865998;8867110	-;-	353	0	0	0	0	0	1	0	0	0
ENSG00000236269.1	chr1;chr1	8935847;8937567	8936090;8938066	-;-	744	14	27	17	29	10	23	21	6	11
ENSG00000230679.1	chr1;chr1	8938894;8939624	8939019;8939953	+;+	456	17	16	16	17	11	15	14	7	8
ENSG00000228526.2	chr1;chr1;chr1	9242066;9243690;9262638	9242354;9243809;9262678	-;-;-	450	23	1	31	0	13	22	7	4	0
ENSG00000234546.2	chr1;chr1;chr1	9242263;9243692;9251452	9242375;9243866;9252148	+;+;+	985	776	20	742	30	443	845	600	499	23
ENSG00000235263.1	chr1;chr1	9561151;9563280	9561607;9563530	-;-	708	0	0	1	0	0	1	0	3	0
ENSG00000231789.2	chr1;chr1;chr1	9732484;9740770;9747393	9732777;9741193;9747613	-;-;-	939	72	42	42	60	34	59	52	48	45
ENSG00000223989.1	chr1;chr1;chr1	9908376;9909427;9910044	9908524;9909532;9910212	+;+;+	424	301	283	226	351	80	336	165	123	216
ENSG00000228150.1	chr1;chr1	10002981;10009696	10003083;10010032	+;+	440	16	22	13	11	12	23	11	30	11
