LncRNA name	Synonyms	geneid	ensg_name	refseq_id	position	cancer type	ICD-0-3	ICD-0-3	methods	sample	regulated	function description	pubmed id	year	title	drug	circulating	survival	miR	variant	TF	methylation
AB073614	NA	NA	NA	NA	GRCh38_3:149173591-149175492	glioma	NA	M9380/3	qPCR, Western blot etc.	glioma tissues, cell line (U251)	up-regulated	AB073614 expression was found to be significantly upregulated in glioma tissues compared with adjacent normal tissues, with a higher level in high-grade glioma. AB073614 expression was significantly upregulated in both glioma tissues and cell lines, and glioma patients with high AB073614 expression had lower overall survival rates. AB073614 promoted the progression of glioma by targeting SOX7 to activate the Wnt/B-catenin signaling pathway, suggesting that the inhibition of AB073614 might be a potential target for therapeutic intervention in glioma patients. AB073614 induced Wnt/B-catenin signaling activity by repressing SOX7 expression.	29029454	2017	Long noncoding RNA AB073614 promotes the malignance of glioma by activating Wnt/B-catenin signaling through downregulating SOX7.	0	0	1	0	0	0	0
AB073614	NA	NA	NA	NA	GRCh38_3:149173591-149175492	glioma	NA	M9380/3	qPCR, RNAi, Western blot, Cell proliferation assay etc.	glioma tissues, cell line (U251)	up-regulated	We confirmed that AB073614 was significantly upregulated in glioma tissues and cell lines. In vitro studies demonstrated that knockdown of AB073614 inhibits U251 cell proliferation and migration. Moreover, knockdown of AB073614 could inhibit epithelial-mesenchymal transition (EMT) phenotype in glioma cells.	27775800	2016	Knockdown of long noncoding RNA AB073614 inhibits glioma cell proliferation and migration via affecting epithelial-mesenchymal transition.	0	0	0	1	0	0	0
AB074169	NA	NA	NA	NA	GRCh38_X:111124471-111127947	papillary thyroid cancer	NA	M8260/3	RNA-seq, Microarray, qPCR, Luciferase reporter assay, RIP etc.	papillary thyroid carcinoma tissues, cell lines (Nthy-ori3-1, TPC-1 and BCPAP)	down-regulated	Here we conducted global  lncRNA profiling and identified lncRNA AB074169 (lncAB) as significantly downregulated in PTC. Decreased expression of lncAB in PTC was caused by CpG hypermethylation within its gene promoter. Functional studies showed that lncAB overexpression led to cell cycle arrest and tumor growth inhibition in vitro and  in vivo, whereas lncAB knockdown promoted cell proliferation. Mechanistic analyses revealed that lncAB bound KH-type splicing regulatory protein (KHSRP) and also decreased expression of KHSRP, thus increasing CDKN1a (p21) expression and decreasing CDK2 expression to repress cell proliferation. Taken together, these findings demonstrate that lncAB functions as a tumor suppressor during PTC tumorigenesis. 	29735546	2018	Long noncoding RNA AB074169 inhibits cell proliferation via modulation of KHSRP-mediated p21 expression in papillary thyroid carcinoma.	0	0	0	0	0	0	1
AB074278	NA	NA	NA	NA	GRCh38_17:63039470-63041178	urothelial cancer	NA	M8120/3	microarray, qPCR, RNAi, in vitro knockdown etc.	urothelial carcinoma of the bladder tissues	up-regulated	AB074278 was chosen because it was significantly upregulated in all tumour phenotypes, strongly associated with tumour progression, and has a low protein coding potential score.AB074278 in apoptosis avoidance and the maintenance of a pro-proliferative state in cancer through a potential interaction with EMP1, a tumour suppressor and a negative regulator of cell proliferation.	25165097	2014	Identification of differentially expressed long noncoding RNAs in bladder cancer.	0	0	0	1	0	0	1
AB209630	NA	NA	NA	NA	GRCh38_9:69248696-69251364	pancreatic ductal adenocarcinoma	C25.3	M8500/3	qPCR, Western blot	pancreatic ductal adenocarcinoma tissues, cell lines (Panc-1 and BXPC-3)	down-regulated	increased expression of lncRNA AB209630 could suppress cell proliferation and cell colony formation ability in gemcitabine resistance cells of PDAC. upregulation of lncRNA AB209630 suppressed the PI3K/AKT signaling pathway in gemcitabine resistance cells.lncRNA AB209630 expression was dramatically downregulated in PDAC tissues compared to adjacent normal tissues. Lower PDAC expression predicted a poor prognosis in PDAC patients. lncRNA AB209630 expression associated 184 with poor overall survival time.	29526843	2018	LncRNA AB209630 inhibits gemcitabine resistance cell proliferation by regulating PI3K/AKT signaling in pancreatic ductal adenocarcinoma.	gemcitabine	0	1	0	0	0	0
AB209630	NA	NA	NA	NA	GRCh38_9:69248696-69251364	hepatocellular carcinoma	C22.0	M8170/3	qPCR, Western blot, etc.	HCC tissue, cell lines (MHCC97-L, MHCC97-H, HCCLM3)	up-regulated	The present study aimed to explore the role of a recent-discovered LncRNA, AB209630, in human HCC, in order to provide new insights useful for clinical HCC diagnosis and treatment. Reverse transcription-quantitative polymerase chain reaction was performed to examine the expression of AB209630 in clinical HCC samples and the adjacent non-cancerous tissues. The reduced expression of AB209630 observed in HCC tissues and cultured HCC cells compared with normal hepatic tissues and cells prompted the construction of an AB209630-expressing plasmid with a CBP tag on the plasmid backbone. Cell proliferation and colony formation assays were conducted to detect the effects of AB209630 on HCC cell proliferation. In addition, Transwell assay and wound-healing assays were performed, the results of which further indicated that the overexpression of AB209630 inhibited the migration and invasion of HCC cells. These results revealed the inhibitory effects of AB209630 on HCC progression, and suggest the potential of AB209630 as an inhibitor of HCC for clinical use.	29042928	2017	Long non-coding RNA AB209630 suppresses cell proliferation and metastasis in human hepatocellular carcinoma	0	0	0	0	0	0	0
AB209630	NA	NA	NA	NA	GRCh38_9:69248696-69251364	hypopharyngeal squamous cell carcinoma	C13	M8070/3	microarray, qPCR etc.	HSCC tissues	up-regulated	Our results demonstrated that AB209630 levels were markedly lower in HSCC tissues and cells than in normal tissues and cells, and increased expression of AB209630 level significantly inhibited growth, metastasis, and invasion and stimulated apoptosis in vitro. In addition, patients with decreased expression of AB209630 had a significantly poorer prognosis than those with high AB209630 expression. These data suggest that increased expression of AB209630 might either stimulate or inhibit biological activities involved in HSCC development, indicating a potential application of AB209630 in future treatment for this disease. This study suggest that AB209630 functions as a tumor suppressor in HSCC, and its decreased expression may help predict a poor prognostic outcome of HSCC. Our future work will focus on the mechanisms of whether and how AB209630 as a tumor suppressor gene is involved in HSCC development	26895099	2016	AB209630, a long non-coding RNA decreased expression in hypopharyngeal squamous cell carcinoma, influences proliferation, invasion, metastasis, and survival	0	0	1	1	0	0	0
AB209630	NA	NA	NA	NA	GRCh38_9:69248696-69251364	hypopharyngeal squamous cell carcinoma	C13	M8070/3	microarray, qPCR etc.	primary HSCC tissues	down-regulated	AB209630 expression was significantly lower in carcinomas than in adjacent nontumor tissues. AB019562 expression was significantly higher in carcinomas than in adjacent nontumor tissues.	26131061	2015	Gene microarray analysis of lncRNA and mRNA expression profiles in patients with hypopharyngeal squamous cell carcinoma.	1	0	1	0	0	0	1
ABHD11-AS1	ABHD11-AS1, LINC00035, NCRNA00035, WBSCR26	171022	ENSG00000225969	NR_026690	GRCh38_7:73735038-73736158	bladder cancer	C67	NA	qPCR, RNAi, Flow cytometry assay, CCK-8 assay, MTT assay etc.	bladder cancer tissues, cell lines (T24, 5637, SW780)	up-regulated	ABHD11-AS1 was up-regulated in bladder cancer tissues and cell lines, and ABHD11-AS1 expression level was positively associated with clinicobiological features. Cell proliferation, cell migration and apoptosis were observed by silencing ABHD11-AS1 and overexpression ABHD11-AS1 caused contrary effects.	28157695	2017	Increased lncRNA ABHD11-AS1 represses the malignant phenotypes of bladder cancer.	0	0	0	0	0	0	0
ABHD11-AS1	ABHD11-AS1, LINC00035, NCRNA00035, WBSCR26	171022	ENSG00000225969	NR_026690	GRCh38_7:73735038-73736158	gastric cancer	C16	NA	qPCR etc.	gastric cancer tissues, gastric juice	up-regulated	The results showed that ABHD11-AS1 levels in gastric cancer tissues were significantly higher than those in other tissues. Its levels in gastric juice from gastric cancer patients were not only significantly higher than those from cases of normal mucosa or minimal gastritis, atrophic gastritis, and gastric ulcers but also associated with gender, tumor size, tumor stage, Lauren type, and blood carcinoembryonic antigen (CEA) levels. 	26280398	2015	Using gastric juice lncRNA-ABHD11-AS1 as a novel type of biomarker in the screening of gastric cancer.	0	0	0	1	0	0	0
ABHD11-AS1	ABHD11-AS1, LINC00035, NCRNA00035, WBSCR26	171022	ENSG00000225969	NR_026690	GRCh38_7:73735038-73736158	gastric cancer	C16	NA	qPCR etc.	gastric cancer tissues	up-regulated	Results show that compared with adjacent nontumor tissues the expression level of ABHD11-AS1 in gastric cancer tissues was significantly increased. 	24984296	2014	Increased expression of long noncoding RNA ABHD11-AS1 in gastric cancer and its clinical significance.	0	0	0	0	0	0	0
ABHD11-AS1	ABHD11-AS1, LINC00035, NCRNA00035, WBSCR26	171022	ENSG00000225969	NR_026690	GRCh38_7:73735038-73736158	ovarian cancer	C56.9	NA	qPCR, Western blot	ovarian cancer tissue, ovarian carcinoma cell lines (A2780 ,OVCAR3)	up-regulated	This is the first study to demonstrate the role of RhoC in the tumor-promoting effects of the lncRNA ABHD11-AS1. The present findings shed light on new therapeutic targets for ovarian cancer treatment.Because of its hidden onset, poor prognosis and high fatality rate, the overall survival rate of this cancer is not satisfactory. 	28818073	2017	Role of the lncRNA ABHD11-AS1 in the tumorigenesis and progression of epithelial  ovarian cancer through targeted regulation of RhoC.	0	0	1	0	0	0	0
ABHD11-AS1	ABHD11-AS1, LINC00035, NCRNA00035, WBSCR26	171022	ENSG00000225969	NR_026690	GRCh38_7:73735038-73736158	endometrial cancer	NA	M8380/3	qPCR, Western blot etc.	endometrial cancer tissues, cell line HEC-1B	up-regulated	Compared to normal endometrial tissue, lncRNA ABHD11-AS1 was significantly overexpressed in endometrial carcinoma. 	29799152	2018	LncRNA ABHD11-AS1 promotes the development of endometrial carcinoma by targeting cyclin D1	0	0	0	0	0	0	0
ABHD11-AS1	ABHD11-AS1, LINC00035, NCRNA00035, WBSCR26	NA	NA	NA	NA	lung adenocarcinoma	C34	M8140/3	qPCR, RNAi, Cell proliferation assay etc.	lung cancer tissues, cell line (A549)	down-regulated	We detected 6 lncRNAs including 3 that were up-regulated (LINC00511, AFAP1-AS1, CASC9) and 3 down-regulated (LINC00968, TINCR, LINC00035) in 20 paired LUAD and LUSC and normal tissues to evaluate the analysis results. The results of qPCR showed that all the chosen lncRNA expressions were increased or decreased in LUAD or LUSC tissues compared with those in the normal tissues, which is consistent with the bioinformatic analysis results.	27797003	2016	Transcriptome analysis of distinct long non-coding RNA transcriptional fingerprints in lung adenocarcinoma and squamous cell carcinoma.	0	0	0	0	0	0	0
ABHD11-AS1	ABHD11-AS1, LINC00035, NCRNA00035, WBSCR26	NA	NA	NA	NA	lung squamous cell carcinoma	C34	M8070/3	qPCR, RNAi, Cell proliferation assay etc.	lung cancer tissues, cell line (SK-MES-1)	down-regulated	We detected 6 lncRNAs including 3 that were up-regulated (LINC00511, AFAP1-AS1, CASC9) and 3 down-regulated (LINC00968, TINCR, LINC00035) in 20 paired LUAD and LUSC and normal tissues to evaluate the analysis results. The results of qPCR showed that all the chosen lncRNA expressions were increased or decreased in LUAD or LUSC tissues compared with those in the normal tissues, which is consistent with the bioinformatic analysis results.	27797003	2016	Transcriptome analysis of distinct long non-coding RNA transcriptional fingerprints in lung adenocarcinoma and squamous cell carcinoma.	0	0	0	0	0	0	0
AC002519.6	NA	NA	ENSG00000261457	NA	GRCh38_16:31802947-31807973	bladder cancer	C67	NA	microarray, qPCR etc.	bladder cancer tissues	down-regulated	Five lncRNAs and four mRNAs were chose for verification of the microarray results in 30 pairs of samples by quantitative real-time PCR. qRT-PCR assay showed that the expression of lncRNA RP11-359E19.2 was upregulated, whereas AL928768.3 and AC002519.6 as well as RP11-79H23.3 and AK021804 were downregulated.	27363013	2016	Comprehensive analysis of differentially expressed profiles of lncRNAs and circRNAs with associated co-expression and ceRNA networks in bladder carcinoma.	0	0	0	1	0	1	0
AC004166.7	STAG3L2, STAG3L1, STAG3L2P, STAG3L3	NA	ENSG00000174353	NA	GRCh38_7:72969696-73005922	lung adenocarcinoma	C34	M8140/3	microarray, qPCR etc.	lung adenocarcinoma tissues	up-regulated	We initially identified a number of interesting candidate lncRNAs for further analysis. Of these, LOC100132354 and RPLP0P2 exhibited the most significantly changed expression in our analysis of 100 pairs of lung adenocarcinoma and normal lung tissue samples. The expression of LOC100132354 was significantly higher in lung adenocarcinoma than in the adjacent tissues, while the expression of RPLP0P2 was significantly lower in lung adenocarcinoma than in the adjacent tissues.	25089627	2014	Long noncoding RNA expression profiles of lung adenocarcinoma ascertained by microarray analysis.	0	0	1	0	0	0	0
AC005550.4	MEOX2, GAX, MOX2, MEOX2-AS1	101927524	ENSG00000229108	NR_110094	GRCh38_7:15688378-15695491	urothelial cancer	NA	M8120/3	microarray, qPCR etc.	urothelial cancer tissues	down-regulated	We randomly chose five differentially expressed lncRNAs and determined their expression levels by RT-PCR in the six pairs of UC and corresponding normal urothelial tissues in RTx recipients. The fold changes were also similar to those of microarray results.	27448299	2016	Profiling of mRNA and long non-coding RNA of urothelial cancer in recipients after renal transplantation.	1	0	0	0	0	0	0
AC007255.8	AC007255.8	NA	NA	NA	GRCh38_7:29514225-29563670	papillary thyroid cancer	NA	M8260/3	RNA-seq, qPCR	papillary thyroid cancer tissues	up-regulated	LncRNA RP5-1024C24.1,AC007255.8, and HOXD-AS1 expression was significantly related to clinical stage, Late clinical stage samples had elevated expression of AC007255.8	28817151	2017	Comprehensive analysis of long noncoding RNA-mRNA co-expression patterns in thyroid cancer.	0	0	0	0	0	0	0
AC007255.8	AC007255.8	NA	NA	NA	GRCh38_7:29514225-29563670	papillary thyroid cancer	NA	M8260/3	microarray, qPCR etc.	PTC tissues	up-regulated	To verify the microarray data, 8 differentially expressed lncRNAs, including 4 upregulated (ENST00000503723, ENST00000423539, uc003tab.3 and NR_073085) and 4 downregulated (ENST00000515275, ENST00000570022, uc003qef.1 and ENST00000427243) lncRNAs, were randomly selected for RT-qPCR in 33 pairs of PTC and adjacent noncancerous tissues. 	27347178	2016	Long noncoding RNA are aberrantly expressed in human papillary thyroid carcinoma.	0	0	0	0	0	0	0
AC007271.3	ENST00000428188	NA	ENSG00000226925	NA	GRCh38_2:102172621-102182108	oral squamous cell carcinoma	C06.9	M8070/3 	qPCR etc.	oral squamous cell carcinomatissues, cell lines (SCC9, SCC15, and SCC25)	up-regulated	A total of 691 lncRNAs (433 upregulated and 258 downregulated) were differentially expressed in OSCC tissues compared with normal controls (p< 0.05). Based on Gene Ontology and pathway analysis, we selected four differentially expressed lncRNAs (AC007271.3, AC007182.6, LOC283481, and RP11-893F2.9), and showed that aberrant AC007271.3 levels in OSCC patients were significantly associated with clinical stage, especially in early-stage disease, in an expanded case-control study. The combination of AC007271.3 and SCCA (AUC=0.902, p< 0.001)  showed significantly better ability to discriminate between OSCC and controls compared with SCCA or AC007271.3 alone. Serum AC007271.3, SCCA, and TSGF levels could also discriminate between OSCC and normal controls with sensitivities of 77.6%, 55.0%, and 63.3%, and specificities of 84.5%, 93.3%, and 66.7%, respectively. These results suggest that AC007271.3, SCCA, and TSGF could be novel circulating biomarkers for the determination of OSCC. 	29763905	2018	SCCA, TSGF, and the Long Non-Coding RNA AC007271.3 are Effective Biomarkers for Diagnosing Oral Squamous Cell Carcinoma.	0	1	1	0	0	0	0
AC007271.3	ENST00000428188	NA	ENSG00000226925	NA	GRCh38_2:102172621-102182108	acute myeloid leukemia	NA	M9861/3	microarray, qPCR etc.	bone marrow	down-regulated	To confirm the microarray data, we selected 97 dysregulated lncRNAs from the microarray analysis of 22 pediatric AML samples and 20 control samples using qRT-PCR. Our data revealed that the lncRNA expression profile in pediatric AML was significantly different from normal controls. A total of 24 lncRNAs were confirmed to be dysregulated in pediatric AML	26573779	2016	Microarray profiling of bone marrow long non-coding RNA expression in Chinese pediatric acute myeloid leukemia patients.	0	0	0	0	0	0	0
AC007403.1	AC007403.3	102724321	ENSG00000223859	NR_110600	GRCh38_2:66921510-66922457	non small cell lung cancer	C34	M8046/3	microarray, qPCR etc.	NSCLC tissues	up-regulated	We discovered that three lncRNAs (RP11-397D12.4, AC007403.1, and ERICH1-AS1) were up regulated in NSCLC, compared with cancer-free controls. RP11-397D12.4, AC007403.1, and ERICH1-AS1 may be potential biomarkers for predicting the tumorigenesis of NSCLC in the future.	26393913	2015	Three circulating long non-coding RNAs act as biomarkers for predicting NSCLC.	0	1	0	0	0	0	0
AC008440.10	NA	NA	NA	NA	NA	laryngeal squamous cell cancer	C32.3	NA	qPCR etc.	laryngeal squamous cell cancer tissues	down-regulated	Significant downregulation of lncRNA AC008440.10 was detected in LSCC tumor and metastatic lymph node in advanced stage of patient samples compared with those in early stage. The pattern of differentially expressed AC008440.10 displayed a clear trend that significantly related to tumor progression. The downregulation of lncRNA AC008440.10 correlates with increasing risk of metastasis, poor prognosis and patient survival.	29775753	2018	Long non-coding RNA biomarker for human laryngeal squamous cell carcinoma prognosis.	0	0	1	0	0	0	0
AC009014.3	AC009014.3, LOC389332, NR_024418	NA	NA	NA	NA	prostate cancer	C61.9	NA	RNA-seq, qPCR etc.	prostate cancer tissues	up-regulated	The 43 differentially expressed (DE) lncRNAs between aggressive and indolent prostate cancers included 12 annotated and 32 novel lncRNAs. The top six DE lncRNAs were selected based on large, consistent fold-changes in the RNA-Seq results. 	29723810	2018	Long Noncoding RNAs AC009014.4 and Newly Discovered XPLAID Differentiate Aggressive and Indolent Prostate Cancers.	0	0	0	0	0	0	0
AC009014.3	AC009014.3, LOC389332, NR_024418	NA	NA	NA	NA	clear cell renal cell carcinoma	C64.9	M8005/0	qPCR	clear cell renal cell carcinoma tissues,  cell lines (786-O, 769-P, CaKi-1 and RLC-310)	down-regulated	The results demonstrated that LOC389332 expression was markedly lower in ccRCC tissues compared with that in matched adjacent non-tumor tissues. Furthermore, patients with ccRCC with lower levels of LOC389332 expression had a shorter overall survival time than those with higher LOC389332 expression.	28450954	2017	Downregulation of a novel long non-coding RNA, LOC389332, is associated with poor prognosis and tumor progression in clear cell renal cell carcinoma	0	0	1	0	0	0	0
