Rank,Ensemble ID,Name,Position (hg19),MinEnergy,Binding site(query),Binding site(target),location,SumEnergy,lncRNA,Name_lncRNA
12,ENST00000607967,RP11-47A8.5,chr10:104402550-104403897 ,-71.6,3544-3594,545-595,ncRNA,-1698.9,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
13,ENST00000170168,REXO1,chr19:1815249-1848452 ,-71.3,4895-4942,1145-1192,CDS,-4018.7,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
14,ENST00000361379,TNNI1,chr1:201373626-201390874 ,-71.1,3539-3609,1528-1598,UTR3,-5451.8,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
15,ENST00000218176,KCND1,chrX:48818648-48827976 ,-71,3537-3609,983-1055,UTR5,-5409.4,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
16,ENST00000374171,POLE3,chr9:116169516-116172952 ,-70.8,3545-3609,1537-1601,UTR3,-1930.8,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
17,ENST00000300575,C16orf92,chr16:30034656-30036023 ,-70.7,3544-3603,532-591,UTR3,-1535,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
18,ENST00000262545,PCSK2,chr20:17207637-17465223 ,-70.2,4895-4942,2243-2290,UTR3,-4526.4,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
19,ENST00000301286,PLIN4,chr19:4502205-4517716 ,-68.9,4895-4942,4271-4318,UTR3,-3328.7,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
20,ENST00000302913,ACHE,chr7:100487617-100493541 ,-68.7,3544-3606,2398-2460,UTR3,-4526.7,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
21,ENST00000606967,RP11-277B15.3,chr1:167189069-167189749 ,-68.5,3544-3607,507-570,ncRNA,-1216.7,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
22,ENST00000244751,CPNE5,chr6:36708556-36807778 ,-68.5,3544-3595,421-472,UTR5,-4980,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
23,ENST00000333039,NPTXR,chr22:39214458-39239987 ,-68.4,4895-4942,5582-5629,UTR3,-4803.9,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
24,ENST00000257787,AKIRIN2,chr6:88384791-88411927 ,-68.4,3544-3607,444-507,UTR5,-1781.3,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
25,ENST00000246914,WNK4,chr17:40932697-40948954 ,-68.2,4895-4942,2520-2567,CDS,-6077.9,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
26,ENST00000261177,TSPAN11,chr12:31079893-31149534 ,-68.1,4895-4942,2068-2115,UTR3,-4745.3,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
27,ENST00000341865,C6orf132,chr6:42068857-42110182 ,-68,3552-3609,630-687,CDS,-6413.1,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
28,ENST00000370790,FAM122B,chrX:133903597-133931164 ,-67.9,3546-3593,748-795,UTR5,-2321.6,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
29,ENST00000303460,HOXC10,chr12:54378971-54384063 ,-67.9,3545-3605,1114-1174,UTR3,-2436.1,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
30,ENST00000300069,RBPMS2,chr15:65032098-65067786 ,-67.6,4895-4942,51-98,UTR5,-3227.6,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
31,ENST00000519714,RP11-756K15.2,chr8:58256347-58277416 ,-67.4,3542-3609,820-887,ncRNA,-1382.9,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
32,ENST00000278947,SCN2B,chr11:118032667-118047388 ,-67.3,3543-3605,4080-4142,UTR3,-5133.5,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
33,ENST00000373060,FOXP4,chr6:41514165-41570121 ,-67.3,3523-3594,3400-3471,UTR3,-7679.7,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
34,ENST00000263798,TYRO3,chr15:41851233-41871526 ,-67.2,3545-3595,138-188,UTR5,-2934.8,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
35,ENST00000306851,B4GALT6,chr18:29203133-29264686 ,-67.1,3545-3602,50-107,UTR5,-2819.9,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
36,ENST00000430651,LBX1-AS1,chr10:102995826-102998605 ,-67.1,3541-3606,1369-1434,ncRNA,-2228.2,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
37,ENST00000407142,PPM1F,chr22:22273801-22292956 ,-66.9,3546-3602,118-174,UTR5,-4099.7,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
38,ENST00000293883,WDR24,chr16:734623-740400 ,-66.8,3550-3609,272-331,UTR5,-2519.2,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
39,ENST00000014914,GPRC5A,chr12:13043717-13070871 ,-66.5,3548-3609,671-732,UTR5,-7323.7,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
40,ENST00000560778,RP11-2E17.1,chr15:80487827-80544555 ,-66.5,3542-3607,1849-1914,ncRNA,-5704.6,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
41,ENST00000578774,CTD-2267D19.3,chr17:38516908-38520945 ,-66.4,3542-3602,1883-1943,UTR3,-1682,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
42,ENST00000322911,MTHFSD,chr16:86563784-86588841 ,-66.4,4895-4942,1777-1824,UTR3,-2629.8,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
43,ENST00000338222,UBQLN2,chrX:56590027-56593443 ,-66.4,3550-3609,2341-2400,UTR3,-2175.6,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
44,ENST00000457881,LINC00479,chr21:43132318-43134215 ,-66.3,3544-3596,461-513,ncRNA,-598.6,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
45,ENST00000412102,LINC00479,chr21:43131681-43135935 ,-66.3,3544-3596,1297-1349,ncRNA,-1927.8,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
46,ENST00000379772,C20orf27,chr20:3734156-3749034 ,-66.3,3550-3609,1481-1540,UTR3,-1422.6,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
47,ENST00000562459,CTD-3064M3.3,chr8:142363504-142365465 ,-66.3,3545-3608,1007-1070,ncRNA,-2134,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
48,ENST00000537727,RP11-45F15.2,chr11:72065561-72074599 ,-66.2,3545-3602,43-100,ncRNA,-564.3,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
49,ENST00000332129,KIF21B,chr1:200938521-200992828 ,-66.2,4895-4942,5174-5221,"CDS,stop_codon",-10307.3,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
50,ENST00000398532,MSL1,chr17:38278552-38293042 ,-66.2,3529-3594,223-288,UTR5,-3488.2,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
51,ENST00000372591,FOXO6,chr1:41827595-41849262 ,-66,3545-3609,2033-2097,UTR3,-2704.3,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
52,ENST00000372851,RIMS4,chr20:43380450-43438979 ,-66,3544-3598,1022-1076,UTR3,-4731,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
53,ENST00000341697,SEMA6C,chr1:151104184-151119087 ,-66,3550-3608,1729-1787,CDS,-5623.1,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
54,ENST00000394963,SMARCD1,chr12:50478756-50494495 ,-65.3,3537-3607,3251-3321,UTR3,-3720,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
55,ENST00000447027,MUC5B,chr11:1244297-1283406 ,-65.2,3545-3597,15025-15077,CDS,-26808.2,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
56,ENST00000374189,MAPK8,chr10:49514734-49647403 ,-65,3545-3608,5549-5612,UTR3,-4356.6,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
57,ENST00000428675,PLCL1,chr2:198669427-199013125 ,-64.9,3550-3602,99-151,UTR5,-3657.2,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
58,ENST00000590526,RTN2,chr19:45988553-46000313 ,-64.6,3542-3607,1978-2043,UTR3,-2158.6,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
59,ENST00000311330,CD248,chr11:66081959-66084515 ,-64.6,4895-4942,1845-1892,CDS,-2801,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
60,ENST00000383699,CADM2,chr3:85008133-86123579 ,-64.5,3549-3607,184-242,UTR5,-7143.8,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
61,ENST00000373313,MAFB,chr20:39314489-39317880 ,-64.4,4895-4942,266-313,UTR5,-2418.6,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
62,ENST00000395494,ATP2A2,chr12:110719033-110788893 ,-64.4,3549-3600,4125-4176,UTR3,-6014.5,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
63,ENST00000332432,11-Mar,chr5:16067249-16179884 ,-64.4,3544-3606,77-139,UTR5,-1773.6,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
64,ENST00000322030,SET,chr9:131451506-131458667 ,-64.4,3544-3608,284-348,UTR5,-2526.3,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
65,ENST00000338508,SHANK2,chr11:70315541-70858372 ,-64.4,3542-3595,2665-2718,CDS,-6881.6,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
66,ENST00000239144,HOXB8,chr17:46689709-46692301 ,-64.4,3535-3608,1468-1541,UTR3,-2310.6,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
67,ENST00000319509,MUC3A,chr7:100551251-100611022 ,-64.3,3545-3609,3154-3218,UTR3,-5807.4,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
68,ENST00000545011,MAP2K7,chr19:7968766-7979362 ,-64.1,3544-3608,1820-1884,UTR3,-4047,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
69,ENST00000313865,AC020907.1,chr19:35596874-35598141 ,-64.1,3533-3594,146-207,UTR5,-2079.2,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
70,ENST00000216080,LMF2,chr22:50941381-50946113 ,-64.1,4895-4942,2389-2436,UTR3,-2372,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
71,ENST00000306422,OTP,chr5:76924539-76935513 ,-64,3526-3595,2510-2579,UTR3,-4881.3,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
72,ENST00000441459,RP5-865N13.1,chr1:232310679-232315859 ,-63.9,3542-3600,1074-1132,ncRNA,-1875.4,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
73,ENST00000397358,HMBOX1,chr8:28747922-28910787 ,-63.8,3545-3596,101-152,UTR5,-3729.8,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
74,ENST00000374810,TP53INP2,chr20:33292095-33301243 ,-63.8,3544-3605,1285-1346,UTR3,-5834.4,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
75,ENST00000246229,PLAGL2,chr20:30780307-30795594 ,-63.8,3544-3608,3094-3158,UTR3,-6982.1,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
76,ENST00000380495,FAM57B,chr16:30035749-30042580 ,-63.8,4895-4942,50-97,UTR5,-4280.4,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
77,ENST00000236877,SLC8A2,chr19:47931275-47975425 ,-63.8,3526-3594,88-156,UTR5,-6469.6,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
78,ENST00000458626,C1orf226,chr1:162351521-162356600 ,-63.7,3525-3594,1378-1447,UTR3,-5558.2,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
79,ENST00000606025,AC007040.11,chr2:71166449-71222466 ,-63.6,3547-3606,1717-1776,UTR3,-4968.7,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
80,ENST00000377113,CASC10,chr10:21781588-21786191 ,-63.4,3543-3606,322-385,UTR5,-2915.6,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
81,ENST00000512941,AC113167.2,chr5:89240728-89243390 ,-63.4,3544-3608,100-164,ncRNA,-866,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
82,ENST00000505153,RP11-640N11.2,chr11:120738643-120765506 ,-63.4,4895-4942,4466-4513,ncRNA,-9171.1,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
83,ENST00000376959,KCNC3,chr19:50815195-50832503 ,-63.3,3526-3595,45-114,UTR5,-5963,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
84,ENST00000342665,SOX12,chr20:306240-310865 ,-63.3,4895-4942,2664-2711,UTR3,-4850.3,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
85,ENST00000429892,AC084018.1,chr12:122233174-122241390 ,-63.2,4895-4942,1092-1139,ncRNA,-1766.6,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
86,ENST00000537157,AC084018.1,chr12:122233477-122238913 ,-63.2,4895-4942,353-400,ncRNA,-327.8,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
87,ENST00000244241,IL17C,chr16:88705002-88706881 ,-63.2,3544-3606,906-968,UTR3,-1339.7,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
88,ENST00000245934,SYMPK,chr19:46318694-46366548 ,-63.1,3553-3609,3743-3799,CDS,-3569.4,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
89,ENST00000368633,CRTC2,chr1:153920152-153931101 ,-63.1,3538-3598,2216-2276,UTR3,-3964.4,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
90,ENST00000525758,RP11-179A10.1,chr11:11139402-11205158 ,-63,3546-3595,1211-1260,ncRNA,-1775.8,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
91,ENST00000342005,AC008132.13,chr22:18834325-18839322 ,-62.9,3546-3608,1091-1153,CDS,-2138.4,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
92,ENST00000329949,POM121L7,chr22:21479950-21482352 ,-62.9,3546-3608,1397-1459,CDS,-2530.9,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
93,ENST00000334221,C1QL4,chr12:49726201-49730971 ,-62.9,3542-3606,1436-1500,UTR3,-1939.3,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
94,ENST00000422045,AC008440.10,chr19:54368018-54369394 ,-62.8,3536-3605,467-536,ncRNA,-1215.8,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
95,ENST00000229922,CAP2,chr6:17393448-17558023 ,-62.8,3541-3609,269-337,UTR5,-3030.9,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
96,ENST00000374639,C1QC,chr1:22970127-22974603 ,-62.8,4895-4942,996-1043,UTR3,-1324.4,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
97,ENST00000262953,TLE2,chr19:2997637-3029165 ,-62.8,3536-3600,141-205,UTR5,-2797.7,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
98,ENST00000376332,CHRDL2,chr11:74407475-74442430 ,-62.7,3544-3604,193-253,UTR5,-2611,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
99,ENST00000222673,OGDH,chr7:44646239-44748665 ,-62.5,3536-3609,3864-3937,UTR3,-4143.9,ENST00000606802,ENSG00000272078.1
,,,,,,,,,ENST00000606802,ENSG00000272078.1
100,ENST00000370490,SLITRK2,chrX:144899690-144907360 ,-62.5,3544-3609,3737-3802,UTR5,-7235.4,ENST00000606802,ENSG00000272078.1
1,ENST00000374796,NCOA6,chr20:33302579-33409442 ,-73.2,76-134,886-944,UTR5,-1236.2,ENST00000430471,ENSG00000224818.1
,,,,,,,,,ENST00000430471,ENSG00000224818.1
2,ENST00000414426,RP11-176F3.7,chr9:33909608-33911120 ,-72.7,78-134,36-92,ncRNA,-187.2,ENST00000430471,ENSG00000224818.1
,,,,,,,,,ENST00000430471,ENSG00000224818.1
3,ENST00000609708,LLNLR-246C6.1,chr19:15456880-15459228 ,-68.6,76-134,969-1027,ncRNA,-453.6,ENST00000430471,ENSG00000224818.1
,,,,,,,,,ENST00000430471,ENSG00000224818.1
4,ENST00000600712,RP11-379B18.5,chr3:125605680-125607696 ,-68.1,76-134,163-221,ncRNA,-221.6,ENST00000430471,ENSG00000224818.1
,,,,,,,,,ENST00000430471,ENSG00000224818.1
5,ENST00000597749,RP11-379B18.5,chr3:125605680-125607918 ,-68.1,76-134,385-443,ncRNA,-148.1,ENST00000430471,ENSG00000224818.1
,,,,,,,,,ENST00000430471,ENSG00000224818.1
6,ENST00000609352,RP11-379B18.5,chr3:125605709-125607844 ,-68.1,76-134,311-369,ncRNA,-175.8,ENST00000430471,ENSG00000224818.1
,,,,,,,,,ENST00000430471,ENSG00000224818.1
7,ENST00000608488,RP11-379B18.5,chr3:125605759-125607862 ,-68.1,76-134,329-387,ncRNA,-243,ENST00000430471,ENSG00000224818.1
,,,,,,,,,ENST00000430471,ENSG00000224818.1
8,ENST00000276708,GSDMC,chr8:130760443-130799134 ,-67.3,21-85,787-851,UTR5,-442.1,ENST00000430471,ENSG00000224818.1
,,,,,,,,,ENST00000430471,ENSG00000224818.1
9,ENST00000358387,TXNDC15,chr5:134209494-134237215 ,-66.3,76-134,2845-2903,UTR3,-531.2,ENST00000430471,ENSG00000224818.1
,,,,,,,,,ENST00000430471,ENSG00000224818.1
10,ENST00000439999,DICER1-AS1,chr14:95643821-95646262 ,-66.1,76-134,594-652,ncRNA,-323.8,ENST00000430471,ENSG00000224818.1
,,,,,,,,,ENST00000430471,ENSG00000224818.1
11,ENST00000587762,MIR24-2,chr19:13945331-13947103 ,-65.4,14-84,1034-1104,ncRNA,-311.9,ENST00000430471,ENSG00000224818.1
,,,,,,,,,ENST00000430471,ENSG00000224818.1
12,ENST00000521819,OSGEPL1-AS1,chr2:190627548-190629952 ,-65.3,76-134,185-243,ncRNA,-189.8,ENST00000430471,ENSG00000224818.1
,,,,,,,,,ENST00000430471,ENSG00000224818.1
13,ENST00000520651,OSGEPL1-AS1,chr2:190627431-190630282 ,-65.3,76-134,302-360,ncRNA,-93.8,ENST00000430471,ENSG00000224818.1
,,,,,,,,,ENST00000430471,ENSG00000224818.1
14,ENST00000267620,FBLN5,chr14:92335786-92413743 ,-65,76-134,309-367,CDS,-401.4,ENST00000430471,ENSG00000224818.1
,,,,,,,,,ENST00000430471,ENSG00000224818.1
15,ENST00000607273,PRIM2,chr6:57182423-57513375 ,-64.7,14-84,1910-1980,UTR3,-432.8,ENST00000430471,ENSG00000224818.1
,,,,,,,,,ENST00000430471,ENSG00000224818.1
16,ENST00000369443,GDAP2,chr1:118406108-118472253 ,-64.3,76-134,4628-4686,UTR3,-1261.8,ENST00000430471,ENSG00000224818.1
,,,,,,,,,ENST00000430471,ENSG00000224818.1
17,ENST00000419973,TP73-AS1,chr1:3652740-3654439 ,-64.3,76-134,35-93,ncRNA,-69.3,ENST00000430471,ENSG00000224818.1
,,,,,,,,,ENST00000430471,ENSG00000224818.1
18,ENST00000418088,TP73-AS1,chr1:3652549-3663340 ,-64.3,76-134,1472-1530,ncRNA,-411.5,ENST00000430471,ENSG00000224818.1
,,,,,,,,,ENST00000430471,ENSG00000224818.1
19,ENST00000423764,TP73-AS1,chr1:3653714-3663900 ,-64.3,76-134,2183-2241,ncRNA,-396.3,ENST00000430471,ENSG00000224818.1
,,,,,,,,,ENST00000430471,ENSG00000224818.1
20,ENST00000482677,RP11-81N13.1,chr3:67705183-67998137 ,-63.8,76-134,1668-1726,ncRNA,-443.6,ENST00000430471,ENSG00000224818.1
,,,,,,,,,ENST00000430471,ENSG00000224818.1
21,ENST00000539605,ANKLE2,chr12:133302255-133338399 ,-63.8,76-128,4906-4958,UTR5,-1375.3,ENST00000430471,ENSG00000224818.1
,,,,,,,,,ENST00000430471,ENSG00000224818.1
22,ENST00000366522,EFCAB2,chr1:245133285-245290466 ,-63.2,16-82,1719-1785,UTR3,-979.4,ENST00000430471,ENSG00000224818.1
,,,,,,,,,ENST00000430471,ENSG00000224818.1
23,ENST00000321276,SGPP2,chr2:223289237-223425667 ,-63.1,21-86,2092-2157,UTR3,-561.6,ENST00000430471,ENSG00000224818.1
,,,,,,,,,ENST00000430471,ENSG00000224818.1
24,ENST00000422408,RP3-508I15.9,chr22:39063868-39066308 ,-63.1,15-85,306-376,ncRNA,-297.1,ENST00000430471,ENSG00000224818.1
,,,,,,,,,ENST00000430471,ENSG00000224818.1
25,ENST00000592038,RP11-203B9.4,chr6:56979976-57035847 ,-63,76-134,353-411,ncRNA,-236.8,ENST00000430471,ENSG00000224818.1
,,,,,,,,,ENST00000430471,ENSG00000224818.1
26,ENST00000586432,RP11-203B9.4,chr6:56979700-57035847 ,-63,76-134,128-186,ncRNA,-223.1,ENST00000430471,ENSG00000224818.1
,,,,,,,,,ENST00000430471,ENSG00000224818.1
27,ENST00000261751,CHRNB4,chr15:78916462-78933587 ,-62.9,13-100,2195-2282,UTR3,-332.5,ENST00000430471,ENSG00000224818.1
,,,,,,,,,ENST00000430471,ENSG00000224818.1
28,ENST00000391898,CARD8,chr19:48711362-48744320 ,-62.9,76-130,4404-4458,UTR3,-1021.6,ENST00000430471,ENSG00000224818.1
,,,,,,,,,ENST00000430471,ENSG00000224818.1
29,ENST00000598565,AC093391.2,chr2:136757984-136765282 ,-62.6,76-134,82-140,ncRNA,-185.3,ENST00000430471,ENSG00000224818.1
,,,,,,,,,ENST00000430471,ENSG00000224818.1
30,ENST00000608669,LINC00963,chr9:132264352-132265277 ,-62.5,76-134,338-396,ncRNA,-153.3,ENST00000430471,ENSG00000224818.1
,,,,,,,,,ENST00000430471,ENSG00000224818.1
31,ENST00000521541,RP11-317N12.1,chr8:33865375-33896441 ,-62.4,76-134,113-171,ncRNA,-215.3,ENST00000430471,ENSG00000224818.1
,,,,,,,,,ENST00000430471,ENSG00000224818.1
32,ENST00000426752,RP11-298H24.1,chr10:107944144-107947553 ,-62.2,76-128,230-282,ncRNA,-120.3,ENST00000430471,ENSG00000224818.1
,,,,,,,,,ENST00000430471,ENSG00000224818.1
33,ENST00000319074,C14orf119,chr14:23563975-23569665 ,-62.1,76-133,2793-2850,UTR3,-491.2,ENST00000430471,ENSG00000224818.1
,,,,,,,,,ENST00000430471,ENSG00000224818.1
